Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,Trend Accuracy (%),Train Direction Accuracy (%),Test Direction Accuracy (%),Train Correlation Coefficient,Test Correlation Coefficient
Base_Random_Forest,0.0005444057593415015,0.0011715564621179828,0.0002140704964177997,0.00021926305992449804,0.787152616772844,-13.317135337023458,56.78127984718243,65.73747985435445,49.08092623537837,0.9046072708991274,0.017518898515666306
Random_Forest_with_SMA,0.0005433530276620292,0.0011640143241130716,0.00021664614075135808,0.00021807898815390036,0.7880596325786471,-13.127632370976885,57.62064022933588,63.75253791950316,49.51038930021495,0.9094187303699617,0.017833685404047707
Random_Forest_with_EMA,0.000549366208423451,0.0011894417499199407,0.00021455592447831788,0.00021944956344719605,0.7832561526842877,-13.75761034666038,55.850047755491886,64.06613740822539,49.1047982812127,0.9012996043296901,0.013767815714866502
Random_Forest_with_MACD,0.0005561121874027169,0.001155637793690522,0.0002199297245236847,0.00021784061742844487,0.7779004293213734,-12.930706920217537,55.46800382043935,62.621620008356714,48.12604440200525,0.902028430298504,0.016497374211515783
Random_Forest_with_RSI,0.0005353210141526684,0.0012078766452645183,0.00021304792798053105,0.00022025366799451838,0.794312832719545,-14.209594894892518,56.43966547192354,65.63339903243146,48.6383182035356,0.9089820169072358,0.0182140957896136
Random_Forest_with_Bollinger_Bands,0.0005894993545024809,0.0006605802891283431,0.00021389236376496097,0.00019231147104385176,0.7506430806674387,-3.5481778260297867,56.97896749521989,66.35201338272195,48.98446833930705,0.8803168410895451,0.009641796017339773
Random_Forest_with_Stochastic_Oscillator,0.0005275609072379523,0.0010029490186532204,0.00021145077054485401,0.0002112277190377839,0.8002552147654187,-9.48649113788451,57.72998805256869,68.54429245564782,48.59053989488772,0.9143319755401068,0.019502903570939135
Random_Forest_with_Fibonacci_Retracement,0.0005452089693336733,0.0011830249790143394,0.0002141169589807309,0.00021997052936077776,0.7865240882933673,-13.598811864356193,56.75740210124164,65.7315107741897,48.9376939603724,0.9041152109755546,0.017720724228414326
Random_Forest_with_ADX,0.0005531706663694607,0.001033779120544329,0.00021201578645789384,0.00021023570587119564,0.7805052485159357,-10.136226380017952,56.17977528089888,67.33803490317953,48.876673040152966,0.9023323666814971,0.02067355832242156
Random_Forest_with_OBV,0.0005439637167379133,0.0010816203526083348,0.0002137066248465902,0.0002124901072266147,0.7874981289631536,-11.203358897028451,55.80229226361032,66.23888258819316,49.152542372881356,0.9049017411560816,0.01978413996146489
Random_Forest_with_CCI,0.000562807737381755,0.000758198420728268,0.0002153607365382344,0.00020201501847427823,0.7727128542301231,-4.991726289867054,56.429254302103246,64.45811924961167,47.62246117084827,0.901707389890944,0.022789789636367234
Random_Forest_with_Ichimoku_Cloud,0.0005284177723066947,0.0009287251206156189,0.00021417942602985646,0.0002069756268260065,0.8004216507440931,-7.944033343148366,57.21142308615311,65.8568772119249,47.216890595009595,0.9165955891984735,0.02071476158607342
