Model,Sharpe Ratio,Rachev Ratio,Modified Rachev Ratio,Distortion RRR,Sortino-Satchell Ratio,Gains-Loss Ratio,STAR Ratio,MiniMax Ratio,Gini Ratio
Base_Random_Forest,-0.044031642460004884,0.9999999999999993,1.0,-1.314711943790551,-0.03228564232383529,0.16428829345861348,-0.04510314480037194,-0.00132872400434952,-1.2870509348299486
Random_Forest_with_ADX,-0.04053221110952942,0.9999999999999999,1.0,-1.4504873896634738,-0.028159106416635517,0.16067073357502773,-0.043582302303769326,-0.0010881996833428155,-1.3725339812482522
Random_Forest_with_Bollinger_Bands,-0.03770657227025058,1.0,1.0,-1.2264491060835268,-0.026845314448277455,0.2601229357843561,-0.040753958480855924,-0.0008070379723466452,-1.5992758743547528
Random_Forest_with_CCI,-0.04699872884341038,0.9999999999999998,1.0,-1.0921470450974726,-0.036297207963660275,0.28612115831202173,-0.04312401412583721,-0.0011853157780496522,-1.4205332260812051
Random_Forest_with_EMA,-0.043651094249898874,0.9999999999999999,1.0,-1.3682332941504807,-0.03187411118117288,0.14199858522328093,-0.04560456094397148,-0.00131535060544366,-1.247800953161975
Random_Forest_with_Fibonacci_Retracement,-0.04421400492675603,0.9999999999999994,1.0,-1.3165407886205467,-0.03245384474334276,0.16254359348376396,-0.045188595412434356,-0.0013305919344370582,-1.2816851126678936
Random_Forest_with_Ichimoku_Cloud,-0.040662554896906324,0.999999999999999,1.0,-1.1233400015072985,-0.02173213425110768,0.06747901475406644,-0.04278054067458365,-0.0011743127065421159,-1.3600093263896114
Random_Forest_with_MACD,-0.04430507245727356,0.9999999999999993,1.0,-1.5557717739066141,-0.03321374781509555,0.13382590102727654,-0.04638087299147024,-0.0013328241741824476,-1.2039411978529357
Random_Forest_with_OBV,-0.04244488144406266,0.9999999999999992,1.0,-1.639224798775785,-0.029429502267580693,0.12268173308243578,-0.045087476658156836,-0.0011831975545139276,-1.2672748867661814
Random_Forest_with_RSI,-0.043339329075319226,0.9999999999999991,1.0,-1.5935226789844472,-0.03182912516296932,0.16812357999509242,-0.04517295813723682,-0.0012715929031650816,-1.2942066860662083
Random_Forest_with_SMA,-0.04336762480990358,0.9999999999999998,1.0,-1.3531549292480576,-0.03132678280326528,0.14719671929010003,-0.045030099720954085,-0.001291053051654355,-1.2738969006413092
Random_Forest_with_Stochastic_Oscillator,-0.04288713843582156,0.9999999999999999,1.0,-1.2275501898117807,-0.02930174701412706,0.1581739436571792,-0.043320789215862805,-0.0012224006100136355,-1.3825832076223155
Random_Forest_with_Winners,-0.061501232003995356,0.9999999999999999,1.0,-1.2124697512347864,-0.04516328179544341,0.5050277620449961,-0.03623989439674014,-0.0015373265578037774,-2.4598438101249336
